model_name,model,mile,accident,location,year,price
Acura,2.4L,21091,2,FL,Sponsored2019,25249
Acura,SH-AWD,97395,No,MO,Sponsored2015,24499
Acura,Standard,29915,No,TX,Sponsored2020,38590
Acura,SH-AWD,18111,1,ID,2019,34600
Acura,with,110015,No,FL,2007,7495
Acura,Automatic,123325,No,CA,2008,7995
Acura,SH-AWD,1046,1,CA,2020,38997
Acura,Automatic,128749,1,WA,2006,6250
Acura,Wagon,66463,No,GA,1999,8999
Acura,Sedan,178522,No,VA,2010,6995
Acura,Automatic,123910,No,CA,2006,5995
Acura,2.4L,31504,No,NJ,2019,23995
Acura,FWD,139528,No,OK,2010,7991
Acura,AWD,170050,1,MN,2010,7995
Acura,2.4L,25063,No,FL,2019,24900
Acura,with,131911,No,MI,2010,13990
Acura,Automatic,139207,No,CA,2006,6999
Acura,FWD,138188,No,CA,2002,5990
Acura,FWD,62960,No,FL,2019,35361
Acura,Automatic,195894,No,CO,2006,4900
Acura,FWD,25631,No,CA,2019,34995
Acura,Sedan,72449,No,IL,2014,18500
Acura,SH-AWD,23208,No,FL,2019,38999
Acura,Automatic,141213,No,GA,2006,7200
Acura,V6,113311,No,MD,2015,17995
Acura,AWD,100994,2,TX,2006,8995
Acura,with,219532,No,VA,2013,10000
Acura,FWD,23469,No,CA,2019,34895
Acura,SH-AWD,115573,1,TX,2009,9998
Acura,FWD,100755,No,TX,2017,17500
Acura,FWD,136620,No,CA,2010,10500
Acura,Automatic,165641,No,CA,2008,7997
Acura,SH-AWD,42064,No,OR,2019,42888
Acura,SH-AWD,53894,No,NJ,2019,35990
Acura,FWD,51063,No,FL,2019,34999
Acura,with,171910,No,CA,2011,11250
Acura,SH-AWD,96471,1,GA,2016,25304
Acura,V6,106519,No,CA,2015,16357
Acura,SH-AWD,6670,1,CA,2020,29999
Acura,SH-AWD,38759,1,NJ,2019,37690
Acura,with,143674,2,TN,2013,12495
Acura,FWD,86673,No,CA,2013,16995
Acura,Automatic,149977,No,CA,2006,7500
Acura,Sedan,131940,1,OR,2012,11760
Acura,SH-AWD,9396,No,TX,2021,51500
Acura,FWD,103425,No,TX,2012,10000
Acura,FWD,52242,No,FL,2016,27491
Acura,FWD,54776,No,CA,2019,34000
Acura,FWD,70684,No,CA,2019,31956
Acura,AWD,152778,No,FL,2013,9997
Acura,FWD,10496,No,CA,2021,38284
Acura,SH-AWD,24404,No,TX,2019,38991
Acura,SH-AWD,32586,No,NC,2019,42900
Acura,FWD,27374,1,CA,2019,35500
Acura,SH-AWD,46015,1,TN,2019,37495
Acura,Standard,10890,No,TX,2020,37502
Acura,Sedan,180735,No,WA,2004,5999
Acura,Automatic,97980,No,CA,2006,8980
Acura,Automatic,159064,2,GA,2006,4799
Acura,Coupe,16946,No,TX,2017,136975
Acura,Sedan,119672,No,FL,2009,7999
Acura,Automatic,110448,No,CA,2007,9588
Acura,SH-AWD,51730,No,NJ,2019,34995
Acura,SH-AWD,40448,1,NJ,2019,37690
Acura,AWD,124000,No,CA,2015,15998
Acura,FWD,162411,1,TX,2016,15900
Acura,V6,43209,1,WA,2015,20665
Acura,FWD,93603,No,TX,2012,10499
Acura,FWD,32994,No,CA,2019,39489
Acura,SH-AWD,11549,No,NJ,2020,40981
Acura,FWD,60344,No,FL,2019,34999
Acura,FWD,34770,No,CA,2019,39425
Acura,FWD,17357,No,FL,2019,33949
Acura,FWD,44125,No,CA,2019,42995
Acura,Sedan,151135,1,NC,2010,9995
Acura,with,162017,No,OR,2011,11995
Acura,FWD,47288,No,LA,2019,31923
Acura,FWD,28150,No,AZ,2019,35830
Acura,2.4L,40832,No,FL,2019,25000
Acura,AWD,121000,2,IN,2006,6995
Acura,Automatic,109687,No,GA,2006,6599
Acura,Automatic,237050,1,WY,2005,4477
Acura,SH-AWD,34561,No,NY,2019,38995
Acura,SH-AWD,11493,No,TX,2020,41788
Acura,Sedan,134012,No,PA,2010,9995
Acura,FWD,27384,No,CA,2019,35427
Acura,AWD,109797,1,IL,2011,12985
Acura,Premium/A-Spec,33732,No,FL,2016,19599
Acura,FWD,21201,1,FL,2019,33242
Acura,Automatic,162125,1,FL,2005,4991
Acura,Automatic,133359,2,IL,2008,7985
Acura,with,207157,No,MO,2008,6995
Acura,AWD,93898,No,FL,2011,11995
Acura,FWD,130829,1,NC,2009,10777
Acura,FWD,27357,No,FL,2019,34499
Acura,FWD,29969,No,FL,2019,37495
Acura,Sedan,74591,No,CA,2014,20998
Acura,SH-AWD,64879,No,CA,2017,30988
Acura,SH-AWD,23435,No,CA,2019,37795
Acura,Automatic,181663,3,MS,2007,5750
Acura,SH-AWD,27384,2,NJ,2019,39094
Acura,Sedan,107888,No,NY,2012,11450
Acura,3.5L,42596,No,AL,2019,31505
Acura,Sedan,136740,No,NY,2009,5995
Acura,FWD,75132,1,FL,2015,16495
Acura,3.5L,31276,No,AL,2019,31991
Acura,SH-AWD,32728,No,CA,2019,38996
Acura,Type-S,178155,No,FL,2007,7499
Acura,SH-AWD,5339,No,CA,2021,41995
Acura,FWD,32661,No,FL,2019,37396
Acura,SH-AWD,150140,No,AZ,2014,16995
Acura,FWD,29718,No,TX,2019,35139
Acura,FWD,95570,No,TX,2017,24924
Acura,SH-AWD,29666,No,FL,2019,35778
Acura,AWD,112748,No,CO,2012,14998
Acura,SH-AWD,25264,1,CT,2019,43850
Acura,SH-AWD,37996,No,NJ,2019,36395
Acura,with,22311,No,OR,2019,19991
Acura,3.0L,83000,No,TX,1999,6490
Acura,FWD,37476,No,FL,2019,39899
Acura,FWD,36463,No,CA,2019,40000
Acura,SH-AWD,34455,No,TX,2019,38990
Acura,FWD,40139,No,TX,2020,39775
